365739	366104
435678	436376
823067	823982
827850	828111
830087	830927
839913	840259
1386851	1388015
1574525	1574825
1852006	1852321
1871048	1871715
1881979	1882347
1997045	1997838
2204818	2205098
3044350	3044625
3473977	3475116
4100974	4103932
4536840	4537115
4914689	4915030
5065322	5067499
5580320	5580674
6147021	6148239
6453280	6453950
6730912	6731194
6782551	6783368
8746490	8748876
9719975	9720229
11517058	11519399
11635258	11641320
11863092	11869356
13586724	13588046
16337588	16338135
17430521	17430855
22582470	22582797
22930184	22930484
24253743	24254136
26941233	26941696
28158028	28158326
28692823	28695931
30158941	30160086
30718559	30725270
30723474	30724228
30905218	30906078
32107648	32108936
32380310	32380585
33118475	33118823
35391437	35392330
38281937	38282240
38469275	38473488
39520727	39521111
45472489	45472807
47701996	47772982
47780310	47780564
47835510	47840919
50418305	50419066
50678222	50678676
52904487	52906842
54832259	54867404
55850458	55930025
63131375	63131953
67130827	67131488
69363543	69378922
69363543	69387337
69363423	69378952
69363442	69387372
69363543	69387378
70803594	70804107
71039934	71040261
74239509	74242871
74438390	74439058
77583489	77584102
78019402	78025146
78833073	78835558
80929101	80929797
80983281	80989344
83988481	84023988
84258259	84258692
86165673	86166809
86173379	86173907
88344519	88349042
88344456	88349086
88344490	88349144
88344516	88347638
88349128	88349544
88569842	88571735
88608442	88611709
90169988	90170776
91644796	91646445
92217451	92227385
92682924	92688157
94937471	94938167
95893272	95893629
96081307	96081642
102665568	102695641
105568586	105568930
107905544	107905822
115518810	115527382
115522212	115524137
115522708	115523589
115932703	115933360
116338359	116338691
117098592	117100389
117338135	117338997
119010836	119015859
119527327	119527659
120209242	120209951
121231082	121232830
121486811	121487233
123137117	123141542
123140628	123141534
123943373	123943814
124509068	124512209
124588843	124589294
126300274	126304806
126425416	126430075
126425416	126430105
127034130	127037799
128328092	128330117
130666097	130666744
130832940	130835557
131221235	131221890
134985638	134985978
135188303	135188870
137098819	137099123
137532808	137533831
138212548	138212882
139634286	139634663
140940946	140942447
141401024	141401334
142818763	142819875
143234635	143237646
144229731	144232193
144979953	144982552
145137574	145137938
145750795	145751676
146148150	146148927
146402193	146402465
146905258	146905534
147317365	147318926
147593319	147602806
149301781	149302128
150044576	150046405
151644507	151662212
151647284	151659380
154443333	154443627
